track,mode,min_score_threshold,n_eligible,cheapest_eligible,cheapest_eligible_cost,best_quality_eligible,eligible_models
imagination,low,45,7,FLUX.1-schnell,0.003,GPT-Image-1,"FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
imagination,mid,65,3,Gemini2.5-Flash-Image,0.039,GPT-Image-1,"Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
imagination,high,80,0,,,,
entity,low,45,8,SD1.5,0.0023,GPT-Image-1,"SD1.5,FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
entity,mid,65,6,SDXL,0.0046,GPT-Image-1,"SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
entity,high,80,2,Gemini2.5-Flash-Image,0.039,GPT-Image-1,"Gemini2.5-Flash-Image,GPT-Image-1"
text_rendering,low,45,6,FLUX.1-schnell,0.003,GPT-Image-1,"FLUX.1-schnell,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
text_rendering,mid,65,2,Gemini2.5-Flash-Image,0.039,GPT-Image-1,"Gemini2.5-Flash-Image,GPT-Image-1"
text_rendering,high,80,0,,,,
style,low,45,8,SD1.5,0.0023,GPT-Image-1,"SD1.5,FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
style,mid,65,7,FLUX.1-schnell,0.003,GPT-Image-1,"FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
style,high,80,3,Gemini2.5-Flash-Image,0.039,GPT-Image-1,"Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
affection,low,45,8,SD1.5,0.0023,Gemini2.5-Flash-Image,"SD1.5,FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
affection,mid,65,7,FLUX.1-schnell,0.003,Gemini2.5-Flash-Image,"FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
affection,high,80,5,FLUX.1-dev,0.03,Gemini2.5-Flash-Image,"FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
composition,low,45,8,SD1.5,0.0023,GPT-Image-1,"SD1.5,FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
composition,mid,65,7,FLUX.1-schnell,0.003,GPT-Image-1,"FLUX.1-schnell,SDXL,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
composition,high,80,5,FLUX.1-dev,0.03,GPT-Image-1,"FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
long_text,low,45,6,FLUX.1-schnell,0.003,Gemini2.5-Flash-Image,"FLUX.1-schnell,FLUX.1-dev,SD3.5-Large,Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
long_text,mid,65,3,Gemini2.5-Flash-Image,0.039,Gemini2.5-Flash-Image,"Gemini2.5-Flash-Image,Qwen-Image,GPT-Image-1"
long_text,high,80,0,,,,
