model,overall,imagination,entity,text_rendering,style,affection,composition,long_text
SD1.5,46.0,32.2,56.9,17.8,59.1,63.8,55.4,37.0
SD2.1,50.8,38.6,61.8,24.0,64.6,65.3,61.5,40.2
SDXL,57.0,44.3,68.0,27.9,72.1,72.6,70.0,44.3
Playground,57.1,49.0,63.0,23.6,74.6,77.4,66.7,45.6
Bagel,62.0,56.5,60.5,35.8,69.3,76.9,77.9,57.3
Bagel-CoT,62.0,56.0,60.5,35.8,69.3,76.9,77.9,57.3
JanusPro-7B,62.1,51.9,66.0,36.7,72.9,74.3,76.7,56.4
FLUX.1-schnell,64.7,49.2,60.8,61.2,70.9,70.6,78.6,61.5
SD3-Medium,66.1,51.0,66.3,50.9,77.0,78.0,82.5,56.8
SD3.5-Medium,66.8,49.9,71.7,50.5,77.7,77.9,83.2,57.0
FLUX.1-dev,68.5,54.2,66.2,62.6,73.4,79.4,81.6,62.1
HiDream-I1-Dev,69.6,57.3,70.8,66.2,73.8,81.2,81.6,56.6
SD3.5-Large,70.6,55.0,74.8,63.3,77.7,79.7,84.3,59.0
HiDream-I1-Full,72.6,58.5,74.5,68.4,81.4,83.3,84.4,57.4
FLUX.1-Krea-dev,74.0,56.3,71.4,63.9,83.3,80.6,88.9,73.5
Qwen-Image,74.1,56.5,72.0,64.5,85.5,80.1,86.7,73.8
SEEDream 3.0,76.2,56.9,77.7,66.4,84.2,82.5,89.3,76.3
Gemini2.5-Flash-Image,80.4,61.4,81.3,78.5,88.6,84.5,89.7,78.4
GPT-Image-1,80.7,66.6,84.1,76.8,87.5,84.0,88.5,77.4
